Log File Created Successfully!!..

ChoosePixelFormat Successful!!..	{Index : 5}
SetPixelFormat Successful!!..
wglCreateContext Successful!!..
wglMakeCurrent Successful!!..
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:-0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:0.000000, Y:-0.000000, Z:-2.000000
X:-0.125581, Y:0.000000, Z:-1.996053
X:-0.124591, Y:-0.015739, Z:-1.996053
X:-0.121636, Y:-0.031231, Z:-1.996053
X:-0.116762, Y:-0.046229, Z:-1.996053
X:-0.110047, Y:-0.060499, Z:-1.996053
X:-0.101597, Y:-0.073815, Z:-1.996053
X:-0.091545, Y:-0.085966, Z:-1.996053
X:-0.080048, Y:-0.096762, Z:-1.996053
X:-0.067290, Y:-0.106031, Z:-1.996053
X:-0.053470, Y:-0.113629, Z:-1.996053
X:-0.038807, Y:-0.119435, Z:-1.996053
X:-0.023532, Y:-0.123357, Z:-1.996053
X:-0.007885, Y:-0.125333, Z:-1.996053
X:0.007885, Y:-0.125333, Z:-1.996053
X:0.023532, Y:-0.123357, Z:-1.996053
X:0.038807, Y:-0.119435, Z:-1.996053
X:0.053470, Y:-0.113629, Z:-1.996053
X:0.067290, Y:-0.106031, Z:-1.996053
X:0.080048, Y:-0.096762, Z:-1.996053
X:0.091545, Y:-0.085966, Z:-1.996053
X:0.101597, Y:-0.073815, Z:-1.996053
X:0.110047, Y:-0.060499, Z:-1.996053
X:0.116762, Y:-0.046229, Z:-1.996053
X:0.121636, Y:-0.031231, Z:-1.996053
X:0.124591, Y:-0.015739, Z:-1.996053
X:0.125581, Y:-0.000000, Z:-1.996053
X:0.124591, Y:0.015739, Z:-1.996053
X:0.121636, Y:0.031231, Z:-1.996053
X:0.116762, Y:0.046229, Z:-1.996053
X:0.110047, Y:0.060499, Z:-1.996053
X:0.101597, Y:0.073815, Z:-1.996053
X:0.091545, Y:0.085966, Z:-1.996053
X:0.080048, Y:0.096762, Z:-1.996053
X:0.067290, Y:0.106031, Z:-1.996053
X:0.053470, Y:0.113629, Z:-1.996053
X:0.038807, Y:0.119435, Z:-1.996053
X:0.023531, Y:0.123357, Z:-1.996053
X:0.007885, Y:0.125333, Z:-1.996053
X:-0.007885, Y:0.125333, Z:-1.996053
X:-0.023532, Y:0.123357, Z:-1.996053
X:-0.038807, Y:0.119435, Z:-1.996053
X:-0.053470, Y:0.113629, Z:-1.996053
X:-0.067290, Y:0.106032, Z:-1.996053
X:-0.080048, Y:0.096762, Z:-1.996053
X:-0.091545, Y:0.085966, Z:-1.996053
X:-0.101597, Y:0.073815, Z:-1.996053
X:-0.110047, Y:0.060499, Z:-1.996053
X:-0.116762, Y:0.046229, Z:-1.996053
X:-0.121636, Y:0.031231, Z:-1.996053
X:-0.124591, Y:0.015739, Z:-1.996053
X:-0.125581, Y:-0.000000, Z:-1.996053
X:-0.124591, Y:-0.015739, Z:-1.996053
X:-0.121636, Y:-0.031231, Z:-1.996053
X:-0.116762, Y:-0.046229, Z:-1.996053
X:-0.110047, Y:-0.060499, Z:-1.996053
X:-0.101597, Y:-0.073815, Z:-1.996053
